Pet, Gender, Education, Urbanicity, Children, Employment, Income
0, 0, Some college, Suburban, 0, 1, 39747
1, 0, High school, Suburban, 0, 1, 32380
0, 0, High school, Suburban, 0, 1, 32474
1, 0, High school, Suburban, 1, 0, 32055
1, 0, Some college, Urban, 1, 0, 40083
0, 0, Some college, Urban, 0, 1, 39643
0, 0, Some college, Urban, 0, 0, 40008
0, 0, Bachelor's degree +, Suburban, 1, 0, 70343
1, 0, Less than high school, Rural, 0, 1, 22188
0, 0, Some college, Suburban, 1, 1, 39907
1, 0, High school, Suburban, 0, 1, 32307
0, 0, High school, Suburban, 0, 1, 32306
0, 1, Bachelor's degree +, Urban, 0, 0, 54788
1, 1, Less than high school, Urban, 1, 1, 20969
0, 1, Some college, Urban, 1, 1, 33497
1, 1, High school, Urban, 0, 1, 29010
1, 1, High school, Rural, 0, 1, 29058
1, 0, Some college, Rural, 0, 0, 39798
1, 0, Some college, Suburban, 0, 1, 40077
0, 0, Bachelor's degree +, Suburban, 0, 0, 70134
1, 1, High school, Rural, 0, 1, 28921
1, 1, High school, Urban, 1, 1, 29130
0, 1, Bachelor's degree +, Suburban, 1, 1, 54543
0, 1, Some college, Suburban, 1, 1, 33339
1, 1, Some college, Rural, 1, 0, 33386
0, 1, Some college, Rural, 1, 1, 33451
1, 1, High school, Rural, 0, 1, 28945
1, 1, Bachelor's degree +, Urban, 0, 0, 54450
0, 1, Bachelor's degree +, Suburban, 0, 0, 54478
1, 1, High school, Rural, 1, 0, 28824
0, 0, Less than high school, Suburban, 0, 1, 22245
1, 1, Some college, Urban, 1, 0, 33310
1, 1, Bachelor's degree +, Urban, 0, 0, 54267
1, 0, High school, Suburban, 1, 1, 32176
0, 0, Bachelor's degree +, Suburban, 1, 1, 70678
1, 1, Bachelor's degree +, Suburban, 1, 1, 54766
1, 0, Bachelor's degree +, Suburban, 0, 0, 70592
0, 0, Some college, Suburban, 0, 0, 39926
0, 0, High school, Suburban, 0, 0, 32306
0, 0, High school, Suburban, 1, 1, 32302
1, 1, High school, Suburban, 1, 1, 28898
0, 0, Bachelor's degree +, Suburban, 0, 1, 70312
1, 0, High school, Suburban, 0, 1, 32386
1, 1, Less than high school, Suburban, 0, 0, 20704
1, 0, Some college, Suburban, 0, 1, 39669
0, 1, Bachelor's degree +, Suburban, 1, 1, 54225
1, 1, Some college, Rural, 0, 1, 33497
1, 1, Bachelor's degree +, Suburban, 0, 1, 54468
0, 1, High school, Suburban, 0, 1, 28824
1, 1, Some college, Urban, 0, 1, 33249
1, 0, Some college, Urban, 0, 0, 39765
0, 0, Some college, Urban, 0, 1, 39810
1, 0, Some college, Suburban, 0, 1, 39517
1, 1, Some college, Urban, 1, 1, 33390
1, 1, High school, Rural, 1, 1, 28920
1, 1, High school, Urban, 0, 0, 28864
1, 1, Less than high school, Urban, 0, 1, 20794
1, 1, Some college, Suburban, 0, 0, 33300
1, 1, High school, Rural, 1, 1, 28906
0, 0, Bachelor's degree +, Suburban, 0, 0, 70798
1, 0, High school, Urban, 0, 0, 32375
0, 1, Bachelor's degree +, Urban, 0, 1, 54564
1, 1, Some college, Rural, 1, 1, 33287
1, 1, Less than high school, Urban, 1, 1, 20622
1, 0, Some college, Rural, 0, 1, 39867
1, 0, Bachelor's degree +, Suburban, 1, 1, 70243
0, 0, Bachelor's degree +, Suburban, 0, 1, 70757
1, 0, High school, Suburban, 0, 1, 32305
1, 0, High school, Suburban, 1, 1, 32194
0, 0, High school, Rural, 0, 0, 32164
0, 0, Bachelor's degree +, Suburban, 0, 1, 70275
1, 0, Some college, Urban, 0, 1, 39667
0, 1, Bachelor's degree +, Urban, 1, 0, 54373
1, 0, Some college, Urban, 0, 1, 39825
1, 0, Bachelor's degree +, Rural, 0, 0, 70434
0, 1, High school, Urban, 0, 1, 28929
0, 1, Some college, Suburban, 0, 1, 33356
1, 0, Less than high school, Urban, 0, 1, 22292
0, 0, Some college, Suburban, 1, 1, 39657
1, 0, Bachelor's degree +, Urban, 0, 0, 70612
0, 0, Bachelor's degree +, Suburban, 0, 0, 70038
1, 1, Less than high school, Urban, 0, 0, 20705
0, 1, Bachelor's degree +, Suburban, 0, 0, 54612
1, 1, High school, Suburban, 0, 1, 28910
1, 1, Some college, Rural, 0, 1, 33096
0, 0, Bachelor's degree +, Rural, 0, 1, 70557
0, 0, Less than high school, Urban, 0, 0, 22183
0, 1, Bachelor's degree +, Suburban, 0, 1, 54449
1, 1, Bachelor's degree +, Rural, 1, 0, 54523
1, 1, Bachelor's degree +, Rural, 0, 0, 54500
1, 1, Bachelor's degree +, Suburban, 0, 0, 54348
1, 1, Some college, Urban, 0, 1, 33402
0, 0, Bachelor's degree +, Urban, 0, 1, 70362
0, 1, Bachelor's degree +, Suburban, 0, 1, 54295
1, 0, Bachelor's degree +, Suburban, 0, 1, 70388
1, 1, Some college, Rural, 0, 1, 33292
1, 1, High school, Urban, 1, 1, 28959
0, 1, Some college, Suburban, 1, 1, 33092
0, 0, Bachelor's degree +, Suburban, 0, 0, 70207
1, 1, Bachelor's degree +, Urban, 0, 1, 54525
0, 0, High school, Suburban, 0, 1, 32555
0, 1, Less than high school, Urban, 0, 1, 20829
1, 1, Less than high school, Suburban, 0, 0, 20889
1, 1, High school, Rural, 0, 1, 28889
1, 1, Some college, Urban, 1, 0, 33196
1, 1, Bachelor's degree +, Suburban, 0, 1, 54451
0, 1, Less than high school, Urban, 0, 0, 20793
1, 0, Bachelor's degree +, Suburban, 0, 1, 69902
1, 1, High school, Urban, 0, 1, 28963
0, 1, Bachelor's degree +, Urban, 0, 0, 54345
1, 1, Some college, Urban, 1, 0, 33354
1, 1, Some college, Suburban, 0, 1, 33503
0, 1, Less than high school, Urban, 0, 0, 20729
1, 1, High school, Suburban, 0, 1, 28881
1, 1, Bachelor's degree +, Urban, 0, 1, 54438
1, 0, Some college, Rural, 1, 1, 39846
1, 1, High school, Suburban, 0, 1, 28953
1, 1, Some college, Rural, 0, 0, 33432
1, 0, High school, Urban, 1, 1, 32384
1, 0, Some college, Suburban, 1, 1, 39855
0, 0, High school, Urban, 0, 0, 32291
1, 0, Bachelor's degree +, Suburban, 0, 1, 70340
1, 1, High school, Urban, 0, 0, 28810
0, 0, High school, Urban, 1, 0, 32117
1, 1, High school, Suburban, 0, 1, 28987
0, 0, High school, Urban, 0, 1, 32322
0, 1, Some college, Urban, 0, 1, 33115
0, 1, Bachelor's degree +, Urban, 1, 0, 54443
0, 0, Some college, Urban, 0, 1, 39796
0, 1, Bachelor's degree +, Suburban, 0, 1, 54090
0, 1, High school, Suburban, 0, 0, 28730
0, 0, High school, Suburban, 0, 0, 32363
1, 1, High school, Urban, 0, 0, 28870
0, 0, Bachelor's degree +, Suburban, 0, 1, 70350
0, 0, Bachelor's degree +, Suburban, 1, 1, 70773
1, 0, High school, Suburban, 0, 1, 32256
1, 1, High school, Suburban, 1, 0, 28887
0, 0, Bachelor's degree +, Suburban, 0, 1, 70514
1, 1, Bachelor's degree +, Suburban, 1, 1, 54455
0, 1, Bachelor's degree +, Suburban, 0, 1, 54922
0, 0, Less than high school, Suburban, 0, 1, 22272
1, 1, Some college, Urban, 0, 0, 33325
1, 0, Bachelor's degree +, Urban, 0, 1, 70521
0, 1, Bachelor's degree +, Urban, 0, 1, 54484
0, 1, Bachelor's degree +, Rural, 0, 0, 54540
0, 1, High school, Suburban, 0, 1, 28885
1, 1, Bachelor's degree +, Urban, 0, 1, 54509
0, 1, Bachelor's degree +, Urban, 1, 1, 54388
0, 1, Bachelor's degree +, Urban, 1, 0, 54444
0, 0, Some college, Urban, 0, 0, 39828
1, 1, Some college, Suburban, 1, 1, 33262
1, 0, Bachelor's degree +, Suburban, 0, 1, 70657
0, 0, High school, Suburban, 0, 0, 32181
1, 1, High school, Suburban, 1, 1, 28917
0, 0, Bachelor's degree +, Urban, 0, 1, 70853
1, 0, Bachelor's degree +, Suburban, 0, 0, 70536
1, 0, High school, Rural, 0, 0, 32344
0, 1, Bachelor's degree +, Suburban, 0, 0, 54560
0, 0, Some college, Urban, 0, 1, 39738
1, 1, Some college, Suburban, 0, 0, 33343
0, 0, Bachelor's degree +, Suburban, 0, 0, 71042
1, 0, High school, Suburban, 0, 1, 32231
0, 0, Bachelor's degree +, Urban, 0, 0, 70334
1, 1, Some college, Urban, 0, 1, 33421
0, 1, High school, Urban, 0, 0, 28909
0, 1, High school, Suburban, 0, 1, 28999
0, 1, Bachelor's degree +, Urban, 0, 1, 54870
0, 1, Bachelor's degree +, Suburban, 0, 0, 54554
1, 0, Some college, Urban, 0, 1, 39810
1, 0, High school, Suburban, 0, 0, 32196
1, 0, High school, Urban, 1, 1, 32239
1, 0, Bachelor's degree +, Suburban, 0, 1, 70303
1, 1, Bachelor's degree +, Urban, 0, 0, 54438
1, 1, High school, Suburban, 0, 1, 28749
0, 0, High school, Suburban, 0, 0, 32164
1, 1, Less than high school, Urban, 0, 1, 20724
0, 1, High school, Urban, 1, 0, 29029
1, 1, Some college, Urban, 0, 1, 33315
1, 1, High school, Suburban, 1, 0, 28898
1, 0, Bachelor's degree +, Urban, 0, 1, 70537
1, 1, Some college, Suburban, 1, 1, 33363
0, 0, Bachelor's degree +, Urban, 0, 1, 70187
0, 0, High school, Suburban, 0, 0, 32309
0, 1, Bachelor's degree +, Suburban, 0, 0, 54335
1, 1, Some college, Urban, 1, 1, 33486
1, 1, Some college, Suburban, 0, 0, 33463
1, 0, Some college, Urban, 0, 1, 39711
0, 0, Some college, Suburban, 0, 1, 39783
1, 1, High school, Suburban, 1, 1, 28860
1, 1, Bachelor's degree +, Rural, 0, 1, 54389
0, 0, Bachelor's degree +, Urban, 0, 1, 70403
1, 1, Some college, Suburban, 1, 0, 33498
1, 0, Some college, Urban, 0, 0, 39929
0, 0, Some college, Urban, 0, 1, 39876
0, 0, Bachelor's degree +, Suburban, 0, 0, 70355
1, 1, High school, Urban, 0, 1, 28868
1, 1, Less than high school, Suburban, 0, 1, 20658
0, 0, Less than high school, Suburban, 1, 1, 22220
1, 1, Some college, Rural, 0, 1, 33200
1, 1, Less than high school, Suburban, 1, 1, 20824
0, 1, Less than high school, Suburban, 1, 1, 20797
0, 1, Bachelor's degree +, Suburban, 0, 1, 54362
1, 0, Some college, Rural, 0, 1, 39943
1, 1, Some college, Urban, 0, 1, 33217
1, 1, Bachelor's degree +, Rural, 0, 0, 54557
1, 1, High school, Urban, 0, 1, 28842
1, 1, Some college, Urban, 0, 1, 33440
0, 0, Bachelor's degree +, Suburban, 0, 1, 70325
1, 1, High school, Urban, 0, 1, 29068
0, 1, Some college, Suburban, 0, 1, 33599
0, 1, Some college, Urban, 1, 1, 33365
1, 0, Bachelor's degree +, Suburban, 0, 0, 70971
1, 1, Some college, Urban, 0, 1, 33409
0, 1, High school, Urban, 0, 1, 28806
0, 1, High school, Urban, 1, 1, 28973
0, 1, Less than high school, Suburban, 0, 1, 20759
0, 0, High school, Suburban, 0, 1, 32404
0, 0, Some college, Suburban, 1, 1, 39765
0, 0, Bachelor's degree +, Suburban, 1, 0, 70110
1, 0, High school, Rural, 0, 1, 32430
1, 0, Less than high school, Urban, 0, 1, 22260
1, 0, High school, Suburban, 0, 1, 32354
0, 1, High school, Urban, 0, 1, 28890
0, 0, Bachelor's degree +, Urban, 0, 0, 71054
0, 1, High school, Suburban, 0, 1, 28901
0, 1, Bachelor's degree +, Rural, 0, 0, 54709
1, 1, Bachelor's degree +, Suburban, 0, 0, 54397
0, 1, Bachelor's degree +, Suburban, 0, 0, 54002
1, 1, High school, Suburban, 0, 1, 28862
1, 0, Bachelor's degree +, Suburban, 0, 1, 70080
0, 0, Less than high school, Urban, 0, 0, 22194
0, 1, Bachelor's degree +, Urban, 0, 1, 54479
1, 1, Some college, Rural, 0, 0, 33469
1, 1, Bachelor's degree +, Urban, 0, 1, 54367
0, 0, Bachelor's degree +, Suburban, 0, 1, 70440
1, 1, Bachelor's degree +, Rural, 0, 1, 54457
0, 1, Bachelor's degree +, Urban, 1, 0, 54622
0, 0, Bachelor's degree +, Suburban, 0, 0, 70444
1, 1, Less than high school, Suburban, 0, 1, 20873
1, 0, High school, Urban, 1, 0, 32306
1, 0, Less than high school, Suburban, 1, 1, 22258
1, 1, High school, Urban, 1, 1, 28869
1, 0, Bachelor's degree +, Suburban, 0, 1, 70585
1, 0, Some college, Suburban, 0, 1, 39643
1, 1, Some college, Urban, 0, 1, 33407
0, 1, Less than high school, Suburban, 0, 0, 20648
1, 1, Bachelor's degree +, Suburban, 0, 1, 54576
1, 1, Bachelor's degree +, Suburban, 0, 1, 54628
1, 0, Bachelor's degree +, Suburban, 0, 1, 70431
1, 0, High school, Rural, 0, 1, 32375
1, 0, Less than high school, Suburban, 0, 1, 22196
1, 0, Bachelor's degree +, Suburban, 0, 0, 70649
1, 1, High school, Suburban, 1, 1, 28996
0, 1, Bachelor's degree +, Urban, 0, 0, 54400
1, 1, Less than high school, Rural, 1, 0, 20752
1, 1, High school, Suburban, 0, 1, 28995
1, 1, Bachelor's degree +, Suburban, 0, 0, 54725
1, 0, Some college, Urban, 0, 0, 39608
0, 1, Some college, Urban, 0, 1, 33310
0, 0, Some college, Suburban, 0, 1, 39605
0, 0, Bachelor's degree +, Suburban, 0, 1, 70433
1, 1, High school, Suburban, 0, 0, 28786
0, 0, High school, Suburban, 0, 0, 32342
0, 0, High school, Urban, 0, 0, 32237
0, 1, High school, Suburban, 0, 1, 29143
0, 1, Some college, Suburban, 1, 1, 33470
1, 0, High school, Suburban, 1, 0, 32301
1, 0, Some college, Suburban, 0, 1, 39791
0, 1, High school, Suburban, 1, 1, 28895
0, 0, High school, Rural, 0, 1, 32414
0, 0, Some college, Urban, 1, 1, 39932
1, 1, High school, Suburban, 0, 1, 28902
0, 1, Bachelor's degree +, Urban, 0, 1, 54694
1, 1, Bachelor's degree +, Suburban, 1, 1, 54427
1, 0, High school, Urban, 0, 1, 32295
1, 1, High school, Urban, 0, 1, 29085
1, 0, High school, Urban, 0, 1, 32393
1, 1, Bachelor's degree +, Urban, 0, 1, 54342
1, 1, Some college, Rural, 1, 1, 33195
0, 1, Some college, Rural, 0, 1, 33357
0, 0, Less than high school, Suburban, 0, 1, 22239
1, 0, Some college, Rural, 0, 1, 39742
0, 0, Some college, Suburban, 0, 1, 39792
1, 1, High school, Suburban, 0, 1, 28825
1, 1, High school, Urban, 0, 1, 28956
1, 0, Bachelor's degree +, Rural, 0, 0, 70141
0, 1, Bachelor's degree +, Suburban, 0, 1, 54348
0, 1, Bachelor's degree +, Urban, 0, 0, 54478
0, 0, Bachelor's degree +, Suburban, 0, 0, 70767
0, 0, High school, Suburban, 0, 0, 32179
1, 1, Some college, Suburban, 0, 0, 33617
0, 1, Less than high school, Suburban, 0, 1, 20793
1, 0, Less than high school, Suburban, 0, 1, 22197
0, 0, Bachelor's degree +, Urban, 0, 1, 70771
0, 0, High school, Urban, 0, 1, 32124
1, 0, Some college, Urban, 1, 0, 39602
1, 0, High school, Urban, 0, 1, 32221
1, 1, Less than high school, Rural, 0, 1, 20818
0, 1, Some college, Rural, 0, 1, 33337
1, 0, Some college, Suburban, 0, 1, 39627
1, 1, Some college, Urban, 1, 1, 33342
1, 0, Bachelor's degree +, Rural, 0, 1, 70508
1, 1, High school, Suburban, 0, 1, 28878
1, 0, Bachelor's degree +, Suburban, 0, 1, 70622
1, 0, Bachelor's degree +, Urban, 0, 1, 70718
1, 0, Some college, Urban, 1, 0, 39880
1, 1, High school, Urban, 0, 1, 28940
0, 0, Some college, Urban, 1, 1, 39723
0, 1, Bachelor's degree +, Suburban, 1, 0, 54343
0, 0, Some college, Urban, 0, 1, 39768
1, 0, Bachelor's degree +, Suburban, 0, 1, 70429
1, 0, High school, Suburban, 1, 0, 32474
0, 1, Some college, Urban, 0, 0, 33234
1, 0, Less than high school, Suburban, 0, 0, 22204
1, 0, High school, Urban, 0, 1, 32339
1, 1, High school, Suburban, 0, 1, 28831
1, 0, Some college, Urban, 1, 1, 39811
1, 1, High school, Rural, 0, 1, 28985
1, 1, Bachelor's degree +, Suburban, 1, 0, 54625
1, 0, High school, Suburban, 0, 0, 32108
1, 0, High school, Urban, 1, 1, 32276
1, 1, Some college, Rural, 0, 1, 33498
0, 0, High school, Suburban, 0, 0, 32259
0, 0, Some college, Urban, 0, 1, 40123
1, 1, Some college, Suburban, 0, 0, 33443
1, 1, High school, Suburban, 0, 0, 28983
1, 1, High school, Suburban, 0, 0, 28829
1, 1, Some college, Rural, 1, 0, 33374
1, 1, Less than high school, Urban, 0, 0, 20767
0, 0, Bachelor's degree +, Suburban, 1, 0, 70388
1, 1, Some college, Suburban, 1, 1, 33352
1, 1, High school, Suburban, 0, 0, 29030
0, 0, Bachelor's degree +, Suburban, 0, 0, 70798
1, 1, Bachelor's degree +, Rural, 0, 0, 54495
0, 1, Less than high school, Urban, 0, 1, 20671
1, 0, Bachelor's degree +, Suburban, 0, 0, 70253
0, 0, Bachelor's degree +, Suburban, 0, 1, 70450
1, 0, Less than high school, Rural, 1, 0, 22229
1, 0, High school, Urban, 0, 0, 32322
1, 1, Some college, Suburban, 0, 1, 33309
1, 0, Bachelor's degree +, Suburban, 0, 0, 70495
1, 1, Less than high school, Suburban, 0, 1, 20791
0, 0, Some college, Suburban, 1, 1, 39895
0, 1, Bachelor's degree +, Suburban, 0, 0, 54754
0, 0, High school, Urban, 1, 0, 32184
0, 0, Some college, Urban, 0, 0, 39793
1, 0, Some college, Suburban, 0, 1, 39822
1, 1, Bachelor's degree +, Suburban, 1, 1, 54626
1, 1, High school, Suburban, 0, 1, 29003
1, 0, Bachelor's degree +, Suburban, 1, 1, 70427
0, 1, High school, Urban, 0, 1, 28892
1, 1, High school, Urban, 1, 0, 28890
0, 0, Less than high school, Suburban, 0, 0, 22211
0, 0, Less than high school, Suburban, 0, 1, 22344
1, 1, Some college, Suburban, 0, 1, 33321
1, 1, Bachelor's degree +, Urban, 1, 1, 54555
1, 0, Bachelor's degree +, Suburban, 0, 1, 70654
1, 1, High school, Suburban, 0, 1, 28866
1, 0, Some college, Suburban, 0, 1, 39904
0, 1, Some college, Suburban, 0, 1, 33245
1, 1, High school, Suburban, 1, 0, 28886
1, 0, Bachelor's degree +, Rural, 0, 1, 71070
1, 1, Less than high school, Suburban, 0, 1, 20781
0, 0, Bachelor's degree +, Urban, 1, 1, 70444
1, 1, Some college, Rural, 1, 1, 33155
0, 0, Some college, Urban, 0, 0, 40015
0, 0, High school, Suburban, 0, 0, 32155
1, 0, High school, Rural, 0, 0, 32353
1, 0, Bachelor's degree +, Rural, 0, 1, 70713
1, 1, Some college, Suburban, 0, 1, 33257
1, 1, Bachelor's degree +, Suburban, 0, 0, 54648
0, 0, Some college, Suburban, 0, 1, 39948
0, 1, Some college, Rural, 0, 0, 33398
0, 0, Some college, Suburban, 0, 1, 39779
1, 0, Some college, Suburban, 0, 1, 39826
1, 0, Bachelor's degree +, Suburban, 0, 0, 70286
1, 1, Some college, Suburban, 0, 1, 33660
1, 0, Less than high school, Suburban, 0, 1, 22068
1, 1, High school, Urban, 0, 1, 28991
1, 0, Some college, Urban, 0, 1, 39835
0, 1, High school, Rural, 0, 1, 28761
0, 1, Bachelor's degree +, Urban, 0, 1, 54327
0, 1, Bachelor's degree +, Suburban, 0, 1, 54449
1, 0, Bachelor's degree +, Urban, 0, 0, 70007
1, 1, High school, Urban, 1, 1, 29061
1, 1, Some college, Suburban, 1, 1, 33243
0, 0, High school, Urban, 0, 1, 32219
1, 0, Some college, Suburban, 0, 0, 39883
0, 1, High school, Suburban, 0, 1, 28965
0, 1, High school, Suburban, 1, 0, 28909
1, 1, High school, Urban, 0, 1, 28852
1, 1, Less than high school, Urban, 0, 0, 20860
1, 1, Less than high school, Urban, 0, 0, 20777
1, 1, Bachelor's degree +, Suburban, 0, 0, 54222
1, 1, Less than high school, Urban, 0, 1, 20750
1, 0, Some college, Suburban, 0, 1, 39952
1, 0, High school, Urban, 0, 1, 32433
1, 0, Bachelor's degree +, Suburban, 0, 1, 70412
0, 1, Some college, Suburban, 0, 1, 33378
0, 1, Bachelor's degree +, Urban, 0, 0, 54228
1, 1, Bachelor's degree +, Suburban, 0, 0, 54600
0, 1, Bachelor's degree +, Suburban, 1, 1, 54442
1, 1, High school, Rural, 1, 1, 28753
0, 0, High school, Suburban, 0, 1, 32302
1, 1, Bachelor's degree +, Rural, 0, 1, 54478
0, 0, High school, Urban, 1, 1, 32145
1, 1, Bachelor's degree +, Suburban, 0, 0, 54446
1, 1, Bachelor's degree +, Suburban, 0, 1, 54076
0, 0, High school, Urban, 0, 0, 32234
1, 0, High school, Suburban, 0, 0, 32345
0, 0, High school, Rural, 0, 0, 32370
1, 1, Bachelor's degree +, Rural, 0, 0, 54147
1, 0, Bachelor's degree +, Urban, 1, 0, 70294
1, 0, High school, Urban, 0, 1, 32165
0, 0, Some college, Suburban, 0, 0, 39740
1, 0, Bachelor's degree +, Rural, 0, 0, 70527
0, 1, Less than high school, Urban, 0, 1, 20791
1, 0, Bachelor's degree +, Suburban, 1, 1, 70580
0, 1, Bachelor's degree +, Urban, 1, 0, 54524
1, 0, High school, Suburban, 0, 1, 32135
1, 1, Bachelor's degree +, Rural, 0, 0, 54587
0, 1, Bachelor's degree +, Urban, 0, 1, 54480
0, 1, High school, Suburban, 1, 1, 28992
1, 0, Some college, Urban, 0, 1, 40022
0, 1, Some college, Suburban, 0, 1, 33381
1, 1, High school, Suburban, 0, 0, 28869
0, 1, High school, Suburban, 1, 1, 29052
0, 0, Bachelor's degree +, Urban, 0, 1, 70320
1, 0, High school, Urban, 0, 1, 32274
1, 0, Bachelor's degree +, Suburban, 0, 1, 70419
1, 0, Bachelor's degree +, Suburban, 0, 1, 70425
1, 0, Bachelor's degree +, Suburban, 0, 1, 70365
1, 0, Bachelor's degree +, Suburban, 1, 1, 70884
1, 0, Bachelor's degree +, Suburban, 0, 1, 70844
0, 1, High school, Urban, 0, 0, 28941
1, 0, Some college, Urban, 0, 0, 39753
0, 1, Some college, Urban, 0, 0, 33162
1, 1, Bachelor's degree +, Suburban, 1, 1, 54229
1, 1, Bachelor's degree +, Urban, 0, 1, 54527
1, 0, Bachelor's degree +, Rural, 0, 0, 70427
0, 0, Some college, Suburban, 0, 0, 39830
0, 1, Bachelor's degree +, Rural, 1, 1, 54735
1, 0, Bachelor's degree +, Rural, 0, 1, 70508
0, 1, Bachelor's degree +, Suburban, 0, 1, 54494
1, 0, High school, Rural, 1, 1, 32306
0, 0, Bachelor's degree +, Urban, 0, 0, 69994
1, 0, Bachelor's degree +, Suburban, 0, 0, 70422
0, 1, Bachelor's degree +, Urban, 0, 1, 54212
1, 1, Some college, Rural, 0, 1, 33451
0, 0, High school, Suburban, 0, 1, 32090
1, 0, High school, Urban, 0, 0, 32266
0, 0, Bachelor's degree +, Urban, 0, 1, 70824
1, 0, High school, Urban, 0, 1, 32349
0, 0, High school, Suburban, 1, 1, 32408
0, 0, Some college, Urban, 0, 1, 39649
1, 1, Less than high school, Suburban, 0, 1, 20936
0, 1, High school, Suburban, 0, 1, 28890
0, 0, High school, Urban, 1, 1, 32411
1, 1, High school, Rural, 1, 1, 29075
1, 0, Less than high school, Suburban, 0, 0, 22211
1, 1, Some college, Urban, 1, 0, 33367
0, 1, Bachelor's degree +, Urban, 1, 1, 54129
0, 1, Bachelor's degree +, Urban, 0, 0, 54423
1, 1, Bachelor's degree +, Suburban, 1, 1, 54165
0, 1, Bachelor's degree +, Suburban, 0, 1, 54609
0, 0, Some college, Suburban, 0, 0, 39819
1, 0, High school, Rural, 0, 1, 32441
0, 0, Bachelor's degree +, Suburban, 0, 0, 70360
0, 0, Bachelor's degree +, Suburban, 1, 0, 70576
1, 1, Bachelor's degree +, Urban, 1, 1, 54484
1, 1, Less than high school, Suburban, 0, 0, 20932
0, 0, Some college, Urban, 0, 1, 39848
1, 1, Bachelor's degree +, Suburban, 1, 1, 54457
1, 0, Less than high school, Suburban, 0, 1, 22201
1, 0, Bachelor's degree +, Suburban, 1, 0, 70969
0, 1, Bachelor's degree +, Urban, 0, 1, 54346
0, 1, Bachelor's degree +, Urban, 0, 0, 54349
1, 1, Bachelor's degree +, Urban, 0, 1, 54036
0, 0, Some college, Urban, 1, 1, 39638
0, 0, High school, Suburban, 1, 1, 32247
1, 1, Less than high school, Urban, 0, 1, 20783
0, 0, High school, Urban, 0, 0, 32299
1, 0, Less than high school, Rural, 0, 1, 22226
1, 1, Bachelor's degree +, Suburban, 0, 0, 54339
0, 0, Some college, Suburban, 0, 1, 39790
0, 0, Bachelor's degree +, Suburban, 0, 0, 70310
1, 0, Some college, Suburban, 0, 0, 39871
1, 1, High school, Rural, 0, 1, 28725
1, 1, Bachelor's degree +, Suburban, 0, 1, 54479
1, 1, Bachelor's degree +, Rural, 0, 1, 54419
0, 0, Some college, Urban, 0, 0, 39994
0, 0, Bachelor's degree +, Urban, 0, 1, 70252
0, 1, High school, Urban, 1, 0, 28868
1, 1, Bachelor's degree +, Suburban, 0, 1, 54286
1, 0, High school, Urban, 1, 1, 32111
0, 0, Bachelor's degree +, Suburban, 0, 1, 70199
1, 0, High school, Suburban, 0, 1, 32332
1, 1, Some college, Suburban, 0, 1, 33371
1, 0, Some college, Suburban, 0, 1, 39964
